Macpherson  Item #,Item Category,Mac  ID Reference,Description,UOM,Copic Item No/ UPC,Currency,Incremental MOQ
CMACD60,Accessory,CMACD60,AIR CAN D-60 FOR ABS,EA,4511338055106,USD,1
CMABS3,Accessory,CMABS3,COPIC AIRBRUSH STARTER SET 3,EA,4511338055199,USD,1
CMCOEC72,Accessory,CMCOEC72,COP/SKTH MRKR 72PC EMPTY CASE,EA,4511338059081,USD,1
CMCOEC12,Accessory,CMCOEC12,COP/SKTH MRKR 12PC EMPTY CASE,EA,4511338059050,USD,1
CMCOEC24,Accessory,CMCOEC24,COP/SKTH MRKR 24PC EMPTY CASE,EA,4511338059067,USD,1
CMCOEC36,Accessory,CMCOEC36,COP/SKTH MRKR 36PC EMPTY CASE,EA,4511338059074,USD,1
CMWALLET24-W,Accessory,CMWALLET24-W,WALLET EMPTY MRKR 24PC WHT,EA,4511338054604,USD,1
CMWALLET36-W,Accessory,CMWALLET36-W,WALLET EMPTY MRKR 36PC WHT,EA,4511338054611,USD,1
CMWALLET72-W,Accessory,CMWALLET72-W,WALLET EMPTY MRKR 72PC WHT,EA,4511338054628,USD,1
CMSKFINEN,Accessory,CMSKFINEN,FINE NIB SKETCH 3PK,EA,4511338054932,USD,20
CMCSCARDS,Accessory,CMCSCARDS,COLOR SWATCH CARDS,EA,4511338062722,USD,10
CMXTRABRDN,Accessory,CMXTRABRDN,EXTRA BROAD NIB PK/2,EA,4511338019740,USD,10
CMABS2,Accessory,CMABS2,COPIC AIRBRUSH STARTER SET 2,EA,4511338055182,USD,1
CMCAA,Accessory,CMCAA,COPIC AIR ADAPTER,EA,4511338010280,USD,1
CMBRUSHN,Accessory,CMBRUSHN,BRUSH NIB PK/3,EA,4511338010112,USD,20
CMMEDBRDN,Accessory,CMMEDBRDN,MED BROAD REPLACEMENT NIB 10PK,EA,4511338010082,USD,20
CMSKTCHEMPTY,Accessory,CMSKTCHEMPTY,SKETCH EMPTY MARKER,EA,4511338003718,USD,3
CMCOPICEMPTY,Accessory,CMCOPICEMPTY,COPIC MRKR EMPTY,EA,4511338002155,USD,3
CMSTDBRDN,Accessory,CMSTDBRDN,STANDARD BROAD NIB PK/10,EA,4511338010068,USD,20
CMSPRBRSHN,Accessory,CMSPRBRSHN,SUPER BRUSH NIB PKG/3,EA,4511338010129,USD,20
CMSTDFNN,Accessory,CMSTDFNN,STANDARD FINE NIB PK/10,EA,4511338010136,USD,20
CMTWEEZER,Accessory,CMTWEEZER,TWEEZER,EA,4511338010259,USD,15
CMCAG,Accessory,CMCAG,AIR BRUSH SYSTEM AIR GRIP,EA,4511338010273,USD,1
CMWIDEEMPTY,Accessory,CMWIDEEMPTY,MARKER WIDE EMPTY,EA,4511338019702,USD,3
CMSKBK0507,Accessory,CMSKBK0507,SKETCHBOOK S 5X7 30SH,EA,4511338055052,USD,1
CMSKBK0912,Accessory,CMSKBK0912,SKETCHBOOK L 9X12 30SH,EA,4511338055069,USD,1
CMSKETCHBOOK,Accessory,CMSKETCHBOOK,SKETCHBOOK SQ 4X4 30SH,EA,4511338055267,USD,1
CM0-I,Ciao Accessory,CM0-I,CIAO COLORLESS BLENDER,EA,4511338008225,USD,3
CMI6BRIGHTS,Ciao Set,CMI6BRIGHTS,CIAO MRKR 6PC SET 1 BRIGHTS,EA,4511338053607,USD,1
CMI6PRIMARY,Ciao Set,CMI6PRIMARY,CIAO MRKR 6PC SET 2 PRIMARY,EA,4511338053614,USD,1
CMI6PASTELS,Ciao Set,CMI6PASTELS,CIAO MRKR 6PC SET 3 PASTELS,EA,4511338053621,USD,1
CMI6SEA,Ciao Set,CMI6SEA,CIAO MRKR 6PC SET SEA,EA,4511338053645,USD,1
CMDKRAIN,Ciao Set,CMDKRAIN,COPIC DOODLE KIT RAINBOW,EA,4511338053904,USD,1
CMDKNATR,Ciao Set,CMDKNATR,COPIC DOODLE KIT NATURE,EA,4511338053911,USD,1
CMDKPPL,Ciao Set,CMDKPPL,COPIC DOODLE KIT PEOPLE,EA,4511338053928,USD,1
CMIILLUS12,Ciao Set,CMIILLUS12,CIAO MRKR 12PC ILLUSTRATN BNDL,EA,4511338055243,USD,1
CMI6PORT,Ciao Set,CMI6PORT,CIAO MRKR 6PC SET PORTRAIT,EA,4511338062951,USD,1
CMIB12V2,Ciao Set,CMIB12V2,CIAO MRKR 12PC BASIC SET V2,EA,4511338063224,USD,1
CMIB24V2,Ciao Set,CMIB24V2,CIAO MRKR 24PC BASIC SET V2,EA,4511338063231,USD,1
